SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 6
NBLOCKS 354
NPATHS 1165
NVALUES 5673
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
0 0 0 0 0 1
1 0 0 0 3 1
2 0 0 1 1 2
3 0 0 2 2 1
4 0 0 3 0 1
5 1 1 0 0 2
6 1 1 0 3 4
7 1 1 1 1 8
8 1 1 1 4 2
9 1 1 2 2 6
10 1 1 3 0 4
11 1 1 3 3 1
12 1 1 4 1 2
13 0 3 0 0 1
14 0 3 0 3 4
15 0 3 0 6 1
16 0 3 1 1 4
17 0 3 1 4 4
18 0 3 2 2 5
19 0 3 2 5 1
20 0 3 3 0 2
21 0 3 3 3 2
22 0 3 4 1 1
23 2 2 0 0 1
24 2 2 0 3 5
25 2 2 0 6 1
26 2 2 1 1 6
27 2 2 1 4 6
28 2 2 2 2 10
29 2 2 2 5 2
30 2 2 3 0 5
31 2 2 3 3 6
32 2 2 4 1 6
33 2 2 4 4 1
34 2 2 5 2 2
35 2 2 6 0 1
36 3 0 0 0 1
37 3 0 0 3 2
38 3 0 1 1 4
39 3 0 1 4 1
40 3 0 2 2 5
41 3 0 3 0 4
42 3 0 3 3 2
43 3 0 4 1 4
44 3 0 5 2 1
45 3 0 6 0 1
46 1 4 0 3 4
47 1 4 0 6 4
48 1 4 1 1 2
49 1 4 1 4 9
50 1 4 1 7 2
51 1 4 2 2 6
52 1 4 2 5 6
53 1 4 3 0 1
54 1 4 3 3 6
55 1 4 3 6 1
56 1 4 4 1 2
57 1 4 4 4 2
58 1 4 5 2 1
59 3 3 0 3 2
60 3 3 0 6 2
61 3 3 1 1 1
62 3 3 1 4 6
63 3 3 1 7 1
64 3 3 2 2 6
65 3 3 2 5 6
66 3 3 3 0 2
67 3 3 3 3 10
68 3 3 3 6 2
69 3 3 4 1 6
70 3 3 4 4 6
71 3 3 5 2 6
72 3 3 5 5 1
73 3 3 6 0 2
74 3 3 6 3 2
75 3 3 7 1 1
76 4 1 0 3 1
77 4 1 1 1 2
78 4 1 1 4 2
79 4 1 2 2 6
80 4 1 2 5 1
81 4 1 3 0 4
82 4 1 3 3 6
83 4 1 4 1 9
84 4 1 4 4 2
85 4 1 5 2 6
86 4 1 6 0 4
87 4 1 6 3 1
88 4 1 7 1 2
89 0 6 0 3 1
90 0 6 0 6 4
91 0 6 0 9 1
92 0 6 1 4 4
93 0 6 1 7 4
94 0 6 2 2 1
95 0 6 2 5 5
96 0 6 2 8 1
97 0 6 3 3 2
98 0 6 3 6 2
99 0 6 4 4 1
100 2 5 0 3 1
101 2 5 0 6 5
102 2 5 0 9 1
103 2 5 1 4 6
104 2 5 1 7 6
105 2 5 2 2 2
106 2 5 2 5 10
107 2 5 2 8 2
108 2 5 3 3 6
109 2 5 3 6 6
110 2 5 4 1 1
